Name,Colors,Deck,Life,Tier,Boss,Difficulty,Include
Unholy Skull,BU,unholyskull,20,Rare,N,0.1,Y
Unraveling Crawler,GB,unravelingcrawler,20,Common,N,0.1,Y
Urabrask,W,copperhostbrutalizer,80,Uncommon,Y,0.5,Y
Valyx Feaster of Torment,B,valyx,80,Rare,Y,0.1,Y
Vampire,B,vampire,11,Common,N,0.1,Y
Vampire Lord,BR,vampire_blood_token_fly,18,Uncommon,N,0.1,Y
Viashino,BGR,viashino,11,Common,N,0.1,Y
Viper,BG,snake,15,Common,N,0.1,Y
Volcano Dragon,R,junddragon,47,Mythic,N,3.0,Y
Volcano Elemental,BR,br_elemental,25,Uncommon,N,0.1,Y
Vorinclex,W,copperhostbrutalizer,80,Uncommon,Y,0.5,Y
Vulture,B,vulture,11,Common,N,0.1,Y
Walking Brain,U,walkingbrain,16,Rare,N,0.1,Y
"Walter, the Stray Camel",W,walter,35,Common,Y,0.1,Y
Wandering Giant,RW,wanderinggiant,15,Uncommon,N,2.0,Y
Wandering Treefolk,G,wanderingtreefolk,13,Common,N,0.2,Y
Warrior,RGW,human_warrior_amonkhet,18,Common,N,0.1,Y
Wasp,GRB,wasp,14,Uncommon,N,0.1,Y
Water Elemental,U,water_elemental,12,Common,N,0.1,Y
Weak Demon,B,weakdemon,11,Uncommon,N,0.2,Y
Werebear,G,bearboss,26,Rare,N,2.0,Y
Werewolf,GR,werewolf,16,Uncommon,N,0.1,Y
White Dwarf,W,white_dwarf,11,Common,N,0.1,Y
Wild Rat,B,infectrat,13,Common,N,0.1,Y
Wild-Magic Sorcerer,RG,wild-magic_sorcerer,15,Rare,N,0.1,Y
Witch,B,witch,18,Uncommon,N,1.0,Y
Wolf,G,wolfboss,42,Mythic,N,3.0,Y
Wolf Pup,G,wolf.json,13,Uncommon,N,0.1,Y
Worm,G,worm,11,Common,N,0.1,Y
Wounded Sliver,GRW,sliver_shandalar,28,Common,Y,0.1,Y
Wraith,B,wraithswampwalk,12,Common,N,0.1,Y
Wurm,G,wurm.json,20,Uncommon,N,0.1,Y
Xira,BGR,xira,35,Rare,Y,0.8,Y
Yeti,GRU,yeti,16,Common,N,0.1,Y
Zedruu,WUBR,zedruubis,40,Rare,Y,0.1,Y
Zombie,B,zombie_black_easy,13,Common,N,0.1,Y
Zombie Lord,B,zombie_black_medium,34,Rare,N,2.0,Y
Zombie Master,B,zombie_black_hard,46,Mythic,N,3.0,Y
Avacynian Preacher,W,inn_cleric_easy,11,Common,N,0.1,Y
Bog Hermit,BG,inn_bog_hermit,10,Common,N,0.1,Y
Borderland Ranger,G,inn_green_scout,15,Common,N,0.1,Y
Cloaked Old Man,B,cloaked_old_man_1_r111,13,Common,N,0.1,Y
Escaped Skaab,U,escaped_skaab_r111,9,Common,N,0.1,Y
Falkenrath Neonate,R,inn_falkenrath_easy,10,Common,N,0.1,Y
Falkenrath Tormentor,R,inn_falkenrath_medium,17,Common,N,0.1,Y
Gavony Farmhand,W,inn_peasant_easy,17,Common,N,0.1,Y
The Gitrog Monster (Innistrad),BG,inn_gitrog_monster,25,Rare,N,2.0,Y
Hobbling Zombie,B,inn_zombie_easy,11,Common,N,0.1,Y
Howlpack Exile,GR,inn_werewolf_easy,15,Common,N,0.1,Y
Hulking Skaab,UB,inn_skaab_medium,15,Common,N,0.1,Y
Immerwolf,GR,inn_immerwolf_easy,15,Common,N,0.1,Y
Laboratory Assistant,U,inn_labman_easy,9,Common,N,0.1,Y
Loam Dryad,G,inn_dryad_easy,7,Common,N,0.1,Y
Missionary of Saint Traft,WU,inn_cleric_traft_easy,12,Common,N,0.1,Y
Obsessed Stitcher,UR,inn_labman_medium,25,Common,N,0.1,Y
Sigardian Priest,WG,inn_cleric_sigarda_easy,11,Common,N,1.0,Y
Shrieking Skaab,U,shrieking_skaab_r111,9,Common,N,0.1,Y
Skaab,U,inn_skaab_easy,10,Common,N,0.1,Y
Wandering Geist,UW,inn_geist_easy,9,Common,N,0.1,Y
Watcher in the Web,G,inn_spider_easy,13,Common,N,0.1,Y
Wolfkin Outcast,G,inn_wolfkin_easy,13,Common,N,0.1,Y
Jodah,WUBRG,jodah,100,Mythic,N,3.0,Y
Meloku,U,meloku,93,Mythic,N,3.0,Y
Arzakon,WUBRG,arzakon,200,Uncommon,N,1.0,Y
Derevi,WUG,derevi,50,Rare,N,2.0,Y
Cromat,WUBRG,cromat,50,Rare,N,2.0,Y
Edgar Markov,WBR,edgar_markov,50,Rare,N,2.0,Y
Kaalia,WBR,kaalia,50,Rare,N,2.0,Y
Valgavoth,B,valgavoth,50,Mythic,N,3.0,Y
Zacama,WRG,zacama,50,Rare,N,2.0,Y
Azlask,WUBRG,azlask,50,Rare,N,3.0,Y
Ulalek,WUBRG,ulalek,50,Rare,N,3.0,Y
Ulamog,C,ulamog,70,Rare,N,3.0,Y
Zhulodok,C,zhulodok,50,Rare,N,3.0,Y
Kynaios and Tiro,WURG,kynaios_and_tiro,50,Rare,N,2.0,Y
Saskia,WBRG,saskia,50,Rare,N,2.0,Y
Breya,WUBR,breya,50,Rare,N,2.0,Y
Atraxa,WUBG,atraxa,50,Mythic,N,3.0,Y
Yidris,UBRG,yidris,50,Rare,N,2.0,Y
The Gitrog Monster,BG,the_gitrog_monster,50,Rare,N,2.0,Y
Krenko,R,krenko,31,Rare,N,2.0,Y
Giada,W,giada,53,Mythic,N,3.0,Y
Ramos,WUBRG,ramos,50,Mythic,N,3.0,Y
Kenrith,WUBRG,kenrith,50,Rare,N,3.0,Y
Garth,WUBRG,garth,50,Rare,N,2.0,Y
Golos,WUBRG,golos,50,Mythic,N,3.0,Y
The Ur-Dragon,WUBRG,the_ur-dragon,70,Mythic,N,3.0,Y
Jared,WUBRG,jared,50,Rare,N,3.0,Y
Scion of the Ur-Dragon,WUBRG,scion_of_the_ur-dragon,50,Rare,N,3.0,Y
Progenitus,WUBRG,progenitus,50,Mythic,N,3.0,Y
Child of Alara,WUBRG,child_of_alara,50,Mythic,N,3.0,Y
The First Sliver,WUBRG,the_first_sliver,50,Rare,N,2.0,Y
Chatterfang,BG,chatterfang,50,Rare,N,2.0,Y
Akul,BR,akul,50,Rare,N,2.0,Y
Klothys,RG,klothys,50,Rare,N,2.0,Y
Urza,U,urza,50,Mythic,N,3.0,Y
Zur,WUB,zur,50,Rare,N,2.0,Y
Arcades,WUG,arcades_sabboth,40,Uncommon,N,1.0,Y
Rorix,R,rorix,18,Uncommon,N,1.0,Y
Visara,B,visara,19,Uncommon,N,1.0,Y
Vaevictis,BRG,vaevictis_asmadi,40,Uncommon,N,2.0,Y
Silvos,G,silvos,22,Uncommon,N,1.0,Y
Arcanis,U,arcanis,36,Uncommon,N,1.0,Y
Nicol Bolas,UBR,nicol_bolas,40,Uncommon,N,2.0,Y
Palladia-Mors,WRG,palladia-mors,40,Rare,N,2.0,Y
Jareth,W,jareth,40,Rare,N,2.0,Y
Chromium,WUB,chromium,40,Rare,N,2.0,Y
O-Kagachi,WUBRG,o-kagachi,40,Rare,N,2.0,Y
Tergrid,B,tergrid,38,Uncommon,N,1.0,Y
Thassa,U,thassa,44,Rare,N,2.0,Y
Winota,WR,winota,40,Rare,N,2.0,Y
Kinnan,UG,kinnan,40,Rare,N,3.0,Y
Sengir,B,sengir_and_falthis,48,Mythic,N,3.0,Y
Olivia,BR,olivia,40,Rare,N,2.0,Y
Ygra,BG,ygra,40,Rare,N,2.0,Y
Thalia,W,thalia,27,Rare,N,2.0,Y
Avacyn,W,avacyn,53,Mythic,N,3.0,Y
Firja,WB,firja,40,Rare,N,2.0,Y
Drakuseth,R,drakuseth,54,Mythic,N,3.0,Y
Vilis,B,vilis,50,Mythic,N,3.0,Y
Victor,WB,victor,40,Rare,N,2.0,Y
The Scarab God,UB,the_scarab_god,40,Rare,N,2.0,Y
The Locust God,UR,the_locust_god,40,Rare,N,2.0,Y
The Scorpion God,BR,the_scorpion_god,40,Uncommon,N,2.0,Y
Gishath,WRG,gishath,40,Rare,N,2.0,Y
Atla Palani,WRG,atla_palani,40,Rare,N,2.0,Y
Arguel,WB,high_marshal_arguel,40,Rare,N,2.0,Y
Amareth,WUG,amareth,40,Rare,N,3.0,Y
Commodore Guff,WUR,commodore_guff,40,Mythic,N,3.0,Y
Marath,WRG,marath,40,Rare,N,2.0,Y
Omnath,WURG,omnath,40,Rare,N,2.0,Y
Riku,URG,riku,40,Rare,N,2.0,Y
Disa,BRG,disa,40,Rare,N,2.0,Y
Gahiji,WRG,gahiji,40,Rare,N,3.0,Y
Karador,WBG,karador,40,Rare,N,3.0,Y
Isshin,WBR,isshin,40,Rare,N,2.0,Y
Tymna and Tana,WBRG,tymna_and_tana,40,Mythic,N,3.0,Y
Akiri and Silas,WUBR,akiri_and_silas,40,Rare,N,2.0,Y
Dihada,WBR,dihada,40,Rare,N,3.0,Y
Nekusar,UBR,nekusar,40,Rare,N,2.0,Y
Satya,WUR,satya,40,Rare,N,2.0,Y
Sydri,WUB,sydri,40,Rare,N,2.0,Y
Estrid,WUG,estrid,40,Rare,N,2.0,Y
Ixhel,WBG,ixhel,40,Rare,N,2.0,Y
Oloro,WUB,oloro,40,Rare,N,2.0,Y
Reyhan and Ishai,WUBG,reyhan_and_ishai,40,Rare,N,2.0,Y
Volrath,UBG,volrath,40,Rare,N,2.0,Y
Animar,URG,animar,40,Rare,N,2.0,Y
Damia,UBG,damia,40,Rare,N,2.0,Y
Jeleva,UBR,jeleva,40,Rare,N,2.0,Y
Lord Windgrace,BRG,lord_windgrace,40,Rare,N,2.0,Y
Thrasios and Vial Smasher,UBRG,thrasios_and_vial_smasher,40,Rare,N,2.0,Y
Ephara,WU,ephara,40,Rare,N,2.0,Y
Mogis,BR,mogis,40,Rare,N,2.0,Y
Xenagos,RG,xenagos,40,Rare,N,2.0,Y
Karametra,WG,karametra,40,Rare,N,2.0,Y
Phenax,UB,phenax,40,Rare,N,2.0,Y
Omarthis,C,omarthis,40,Rare,N,2.0,Y
Eriette,WB,eriette,40,Rare,N,2.0,Y
Hylda,WU,hylda,40,Uncommon,N,1.0,Y
Agatha,RG,agatha,40,Rare,N,2.0,Y
Ojer Kaslem,G,ojer_kaslem,47,Mythic,N,3.0,Y
Numot,WUR,numot,40,Rare,N,2.0,Y
Teneb,WBG,teneb,40,Rare,N,2.0,Y
Vorosh,UBG,vorosh,40,Rare,N,2.0,Y
Intet,URG,intet,40,Rare,N,2.0,Y
Oros,WBR,oros,40,Rare,N,2.0,Y
Gargos,G,gargos,41,Mythic,N,3.0,Y
Rowan,BR,rowan,40,Rare,N,2.0,Y
Will,WU,will,40,Rare,N,2.0,Y
Syr Gwyn,WBR,syr_gwyn,40,Rare,N,2.0,Y
Mishra,UBR,mishra,40,Rare,N,2.0,Y
Morophon,WUBRG,morophon,40,Rare,N,2.0,Y
Go-Shintai,WUBRG,go-shintai,40,Rare,N,2.0,Y
Gix,B,gix,31,Rare,N,2.0,Y
Yawgmoth,B,yawgmoth,27,Rare,N,2.0,Y
Ojer Axonil,R,ojer_axonil,41,Uncommon,N,1.0,Y
Iroas,WR,iroas,40,Rare,N,2.0,Y
Athreos,WB,athreos,40,Rare,N,2.0,Y
Pharika,BG,pharika,40,Rare,N,2.0,Y
Kruphix,UG,kruphix,40,Rare,N,2.0,Y
Keranos,UR,keranos,40,Rare,N,2.0,Y
Koma,UG,koma,40,Rare,N,2.0,Y
Rafiq,WUG,rafiq,40,Uncommon,N,2.0,Y
Uril,WRG,uril,40,Uncommon,N,2.0,Y
Karrthus,BRG,karrthus,40,Rare,N,2.0,Y
Sedris,UBR,sedris,40,Rare,N,2.0,Y
Sharuum,WUB,sharuum,40,Rare,N,2.0,Y
Sheoldred,B,sheoldred,47,Mythic,N,3.0,Y
The Mimeoplasm,UBG,the_mimeoplasm,40,Rare,N,2.0,Y
Sliver Overlord,WUBRG,sliver_overlord,40,Rare,N,2.0,Y
Sliver Weftwinder,WUBRG,sliver_weftwinder,40,Rare,N,2.0,Y
Sliver Legion,WUBRG,sliver_legion,40,Rare,N,2.0,Y
Rukarumel,WUBRG,rukarumel,40,Uncommon,N,1.0,Y
Sliver Hivelord,WUBRG,sliver_hivelord,40,Rare,N,2.0,Y
Sliver Gravemother,WUBRG,sliver_gravemother,40,Rare,N,2.0,Y
Reaper King,WUBRG,reaper_king,40,Rare,N,2.0,Y
Asmira,WG,asmira,40,Uncommon,N,1.0,Y
Hythonia,B,hythonia,19,Uncommon,N,1.0,Y
Aphemia,B,aphemia,29,Rare,N,2.0,Y
Uro,UG,uro,40,Rare,N,2.0,Y
Phlage,WR,phlage,40,Rare,N,2.0,Y
Kroxa,BR,kroxa,40,Rare,N,2.0,Y
Heliod,W,heliod,32,Rare,N,2.0,Y
Inalla,UBR,inalla,40,Rare,N,2.0,Y
Santa,R,feldon,33,Rare,N,2.0,Y
Jorn,UBG,jorn,30,Uncommon,N,1.0,Y
Mina and Denn,RG,mina_and_denn,40,Uncommon,N,2.0,Y
General Tazri,WUBRG,general_tazri,40,Rare,N,2.0,Y
Felothar,WBG,felothar,30,Rare,N,2.0,Y
Grand Arbiter,WU,grand_arbiter,30,Rare,N,2.0,Y
Aurelia,WR,aurelia,30,Rare,N,3.0,Y
Yusri,UR,yusri,30,Rare,N,2.0,Y
Inniaz,WU,inniaz,30,Rare,N,2.0,Y
Queen Marchesa,WBR,marchesa,30,Rare,N,2.0,Y
Grenzo,BR,grenzo,30,Uncommon,N,1.0,Y
Balthor,B,balthor,30,Uncommon,N,1.0,Y
Magda,R,magda,21,Uncommon,N,1.0,Y
Heidar,U,heidar,28,Uncommon,N,1.0,Y
Rashmi,UG,rashmi,30,Rare,N,2.0,Y
Jarad,BG,jarad,30,Uncommon,N,2.0,Y
Borborygmos,RG,borborygmos,30,Rare,N,2.0,Y
Wilhelt,UB,wilhelt,30,Rare,N,2.0,Y
Lazav,UB,lazav,30,Rare,N,2.0,Y
Admiral Brass,UBR,admiral_brass,30,Rare,N,2.0,Y
Goreclaw,G,goreclaw,28,Rare,N,2.0,Y
Niv-Mizzet,UR,niv-mizzet,30,Uncommon,N,2.0,Y
Narset,WUR,narset,30,Rare,N,2.0,Y
Jetmir,WRG,jetmir,30,Rare,N,2.0,Y
Aegar,UR,aegar,30,Rare,N,2.0,Y
Karn,C,karn,30,Rare,N,2.0,Y
Prossh,BRG,prossh,30,Rare,N,2.0,Y
Illuna,URG,illuna,30,Rare,N,2.0,Y
Brokkos,UBG,brokkos,30,Rare,N,2.0,Y
Vadrok,WUR,vadrok,30,Rare,N,2.0,Y
Snapdax,WBR,snapdax,30,Uncommon,N,1.0,Y
Nethroi,WBG,nethroi,30,Rare,N,2.0,Y
Kemba,W,kemba,17,Uncommon,N,1.0,Y
Velomachus,WR,velomachus,30,Rare,N,2.0,Y
Zurgo,WBR,zurgo,30,Rare,N,2.0,Y
Phelddagrif,WUG,phelddagrif,42,Rare,N,2.0,Y
Sheldon,WUR,sheldon,40,Rare,N,2.0,Y
The Mycotyrant,BG,the_mycotyrant,30,Uncommon,N,1.0,Y
Jhoira,UR,jhoira,30,Rare,N,2.0,Y
Sisay,WUBRG,sisay,30,Rare,N,2.0,Y
Yuma,WRG,yuma,30,Rare,N,2.0,Y
Baron Bertram,WB,baron_bertram,30,Uncommon,N,1.0,Y
Teysa,WB,teysa,30,Rare,N,2.0,Y
Galazeth,UR,galazeth,30,Rare,N,2.0,Y
Tanazir,UG,tanazir,30,Rare,N,2.0,Y
Raffine,WUB,raffine,30,Rare,N,2.0,Y
Rakdos,BR,rakdos,30,Uncommon,N,2.0,Y
Marrow-Gnawer,B,marrow-gnawer,33,Uncommon,N,1.0,Y
Horde of Notions,WUBRG,horde_of_notions,30,Rare,N,2.0,Y
Trostani,WG,trostani,30,Rare,N,2.0,Y
Shadrix,WB,shadrix,30,Rare,N,2.0,Y
Kogla,G,kogla,29,Rare,N,2.0,Y
Prime Speaker Zegana,UG,prime_speaker_zegana,30,Rare,N,2.0,Y
Infinite Guideline Station,WUBRG,infinite_guideline_station,30,Rare,N,2.0,Y
Falco Spara,WUG,falco_spara,30,Rare,N,2.0,Y
Kotis,UBG,kotis,30,Uncommon,N,1.0,Y
Eshki,URG,eshki,30,Rare,N,2.0,Y
Bello,RG,bello,30,Rare,N,2.0,Y
Ms. Bumbleflower,WUG,ms_bumbleflower,30,Rare,N,2.0,Y
Arthur,WUR,arthur,30,Rare,N,2.0,Y
Baylen,WRG,baylen,30,Rare,N,2.0,Y
The Infamous Cruelclaw,BR,the_infamous_cruelclaw,30,Rare,N,2.0,Y
Urtet,WUBRG,urtet,30,Uncommon,N,1.0,Y
Neyali,WR,neyali,30,Rare,N,2.0,Y
Najeela,WUBRG,najeela,30,Uncommon,N,1.0,Y
Talion,UB,talion,30,Rare,N,2.0,Y
The Goose Mother,UG,the_goose_mother,30,Rare,N,2.0,Y
Korvold,BRG,korvold,30,Rare,N,2.0,Y
Beledros,BG,beledros,30,Rare,N,2.0,Y
Voja,WRG,voja,30,Uncommon,N,1.0,Y
Tovolar,RG,tovolar,30,Uncommon,N,2.0,Y
Xander,UBR,xander,30,Rare,N,2.0,Y
Brenard,WUG,brenard,30,Uncommon,N,1.0,Y
Ziatora,BRG,ziatora,30,Rare,N,2.0,Y
Albiorix,UG,albiorix,30,Rare,N,2.0,Y
Balmor,UR,balmor,30,Rare,N,2.0,Y
Kangee,WU,kangee,30,Uncommon,N,1.0,Y
Commander Eesha,W,commander_eesha,20,Uncommon,N,1.0,Y
Kastral,WU,kastral,30,Uncommon,N,1.0,Y
Kykar,WUR,kykar,30,Rare,N,2.0,Y
Teshar,W,teshar,31,Uncommon,N,1.0,Y
Vega,WU,vega,30,Rare,N,2.0,Y
Zeriam,W,zeriam,12,Common,N,0.1,Y
Zinnia,WUR,zinnia,30,Uncommon,N,1.0,Y
Zoraline,WB,zoraline,30,Rare,N,2.0,Y
Adun,BRG,adun_oakenshield,30,Uncommon,N,2.0,Y
Angus,WUG,angus_mackenzie,30,Uncommon,N,1.0,Y
Halfdane,WUB,halfdane,30,Rare,N,2.0,Y
Hazezon,WRG,hazezon,30,Rare,N,2.0,Y
Tetsuo,UBR,tetsuo_umezawa,30,Uncommon,N,2.0,Y
Jugan,G,jugan,28,Uncommon,N,1.0,Y
Keiga,U,keiga,30,Uncommon,N,1.0,Y
Kokusho,B,kokusho,18,Uncommon,N,1.0,Y
Ryusei,R,ryusei,55,Mythic,N,3.0,Y
Yosei,W,yosei,18,Uncommon,N,1.0,Y
Aclazotz,B,aclazotz,21,Uncommon,N,1.0,Y
Bontu,B,bontu,30,Rare,N,2.0,Y
Egon,B,egon,54,Mythic,N,3.0,Y
Erebos,B,erebos,29,Rare,N,2.0,Y
Alrund,U,alrund,29,Rare,N,2.0,Y
Cosima,U,cosima,30,Rare,N,2.0,Y
Kefnet,U,kefnet,27,Rare,N,2.0,Y
Ojer Pakpatiq,U,ojer_pakpatiq,32,Rare,N,2.0,Y
Brallin and Shabraz,WUR,brallin_and_shabraz,30,Uncommon,N,2.0,Y
Cazur and Ukkima,UBG,cazur_and_ukkima,30,Rare,N,2.0,Y
Haldan and Pako,URG,haldan_and_pako,30,Uncommon,N,2.0,Y
Nikara and Yannik,WBG,nikara_and_yannik,30,Uncommon,N,1.0,Y
Trynn and Silvar,WBR,trynn_and_silvar,30,Rare,N,2.0,Y
Ascendant Evincar,B,ascendant_evincar,33,Rare,N,2.0,Y
Garza Zol,UBR,garza_zol,30,Uncommon,N,1.0,Y
Grandmother Sengir,B,grandmother_sengir,13,Common,N,0.1,Y
Kazarov,BR,kazarov,30,Uncommon,N,1.0,Y
Rodolf,WB,rodolf,30,Rare,N,2.0,Y
Shauku,B,shauku,34,Rare,N,2.0,Y
Verrak,WB,verrak,30,Rare,N,2.0,Y
Anje,BR,anje,30,Uncommon,N,1.0,Y
Florian,BR,florian,30,Rare,N,2.0,Y
Henrika,B,henrika,52,Mythic,N,3.0,Y
Runo,UB,runo_stromkirk,30,Uncommon,N,2.0,Y
Strefan,BR,strefan,30,Rare,N,2.0,Y
Timothar,B,timothar,28,Rare,N,2.0,Y
Beza,W,beza,49,Mythic,N,3.0,Y
Dragonhawk,R,dragonhawk,48,Mythic,N,3.0,Y
Eluge,U,eluge,43,Mythic,N,3.0,Y
Lumra,G,lumra,28,Rare,N,2.0,Y
Maha,B,maha,28,Rare,N,2.0,Y
Wildsear,RG,wildsear,30,Rare,N,2.0,Y
Bruna,WU,bruna,30,Rare,N,2.0,Y
Gisela,WR,gisela,30,Rare,N,2.0,Y
Liesa,WB,liesa,30,Uncommon,N,2.0,Y
Sigarda,WG,sigarda,30,Rare,N,2.0,Y
Taborax,B,taborax,41,Mythic,N,3.0,Y
Sephara,W,sephara,49,Mythic,N,3.0,Y
Skithiryx,B,skithiryx,19,Uncommon,N,1.0,Y
Arabella,WR,arabella,30,Rare,N,2.0,Y
Winter,BG,winter,30,Rare,N,2.0,Y
Marina,WUBRG,marina_vendrell,30,Rare,N,2.0,Y
Rendmaw,BG,rendmaw,30,Rare,N,2.0,Y
The Jolly Balloon Man,WR,the_jolly_balloon_man,30,Rare,N,2.0,Y
The Lord of Pain,BR,the_lord_of_pain,30,Rare,N,2.0,Y
The Master of Keys,WUB,the_master_of_keys,30,Uncommon,N,2.0,Y
The Mindskinner,U,the_mindskinner,50,Mythic,N,3.0,Y
Neheb,R,neheb,28,Mythic,N,3.0,Y
Unesh,U,unesh,31,Rare,N,2.0,Y
Wayta,WRG,wayta,30,Rare,N,2.0,Y
Huatli,WRG,huatli,30,Rare,N,2.0,Y
Nezahal,U,nezahal,30,Uncommon,N,1.0,Y
Etali,R,etali,50,Mythic,N,3.0,Y
Pantlaza,WRG,pantlaza,30,Rare,N,2.0,Y
Tsagan,WBR,tsagan,30,Rare,N,2.0,Y
Zetalpa,W,zetalpa,28,Rare,N,2.0,Y
Zilortha,RG,zilortha,30,Uncommon,N,1.0,Y
Amalia,WB,amalia,30,Rare,N,2.0,Y
Carmen,WB,carmen,30,Rare,N,2.0,Y
Clavileño,WB,clavileño,30,Rare,N,2.0,Y
Don Andres,UBR,don_andres,30,Rare,N,2.0,Y
Saint Elenda,W,saint_elenda,31,Rare,N,2.0,Y
Evereth,BR,evereth,30,Uncommon,N,1.0,Y
Vito,B,vito,32,Rare,N,2.0,Y
Vona,WB,vona,30,Rare,N,2.0,Y
Brimaz,WB,brimaz,30,Rare,N,2.0,Y
Ria Ivor,WB,ria_ivor,30,Uncommon,N,2.0,Y
Mondrak,W,mondrak,53,Mythic,N,3.0,Y
Skrelv,W,skrelv,13,Common,N,0.1,Y
Clement,UG,clement,30,Rare,N,2.0,Y
Glarb,UBG,glarb,30,Rare,N,2.0,Y
Helga,WUG,helga,30,Rare,N,2.0,Y
Ishkanah,BG,ishkanah,30,Rare,N,2.0,Y
Muldrotha,UBG,muldrotha,30,Rare,N,2.0,Y
Old Stickfingers,BG,old_stickfingers,30,Rare,N,2.0,Y
Saryth,G,saryth,29,Rare,N,2.0,Y
Tatsunari,UBG,tatsunari,30,Uncommon,N,1.0,Y
Uurg,BG,uurg,30,Common,N,0.1,Y
Yargle and Multani,BG,yargle_and_multani,30,Rare,N,1.0,Y
Toggo and Krark,R,krark_and_toggo,32,Rare,N,2.0,Y
Pashalik Mons,R,pashalik_mons,31,Uncommon,N,1.0,Y
Kiki-Jiki,R,kiki-jiki,32,Rare,N,2.0,Y
General Kreat,R,general_kreat,23,Uncommon,N,1.0,Y
Muxus,R,muxus,31,Rare,N,2.0,Y
Redshift,RG,redshift,30,Rare,N,2.0,Y
Kolvori,G,kolvori,45,Mythic,N,3.0,Y
Nylea,G,nylea,34,Rare,N,2.0,Y
Rhonas,G,rhonas,27,Rare,N,2.0,Y
Gisa,B,gisa,30,Uncommon,N,1.0,Y
Geralf,U,geralf,11,Common,N,0.1,Y
Akroma and Keleth,W,akroma_and_keleth,53,Mythic,N,3.0,Y
Linvala,WU,linvala,30,Rare,N,2.0,Y
Lyra,W,lyra,29,Rare,N,2.0,Y
Radiant,W,radiant,26,Rare,N,2.0,Y
Rienne,WRG,rienne,30,Rare,N,2.0,Y
Crosis,UBR,crosis,30,Rare,N,2.0,Y
Darigaaz,BRG,darigaaz,30,Rare,N,2.0,Y
Dromar,WUB,dromar,30,Rare,N,2.0,Y
Rith,WRG,rith,30,Rare,N,2.0,Y
Treva,WUG,treva,30,Rare,N,2.0,Y
Grakmaw,BG,grakmaw,30,Rare,N,2.0,Y
Gyrus,BRG,gyrus,30,Uncommon,N,1.0,Y
Polukranos,WG,polukranos,30,Uncommon,N,2.0,Y
Ulasht,RG,ulasht,30,Rare,N,2.0,Y
Zaxara,UBG,zaxara,30,Rare,N,2.0,Y
Kothophed,B,kothophed,19,Uncommon,N,1.0,Y
Belzenlok,B,belzenlok,32,Rare,N,2.0,Y
Razaketh,B,razaketh,47,Mythic,N,3.0,Y
Ayara,B,ayara,48,Mythic,N,3.0,Y
Gadwick,U,gadwick,30,Rare,N,2.0,Y
Linden,W,linden,33,Mythic,N,3.0,Y
Syr Alin,W,syr_alin,22,Uncommon,N,1.0,Y
Syr Carah,R,syr_carah,30,Uncommon,N,2.0,Y
Syr Elenora,U,syr_elenora,32,Rare,N,2.0,Y
Syr Faren,G,syr_faren,32,Rare,N,2.0,Y
Syr Konrad,B,syr_konrad,18,Uncommon,N,1.0,Y
Torbran,R,torbran,31,Rare,N,2.0,Y
Yorvo,G,yorvo,47,Mythic,N,3.0,Y
Emperor Mihail,U,emperor_mihail,27,Rare,N,2.0,Y
Hakbal,UG,hakbal,30,Rare,N,2.0,Y
Kenessos,UG,kenessos,30,Uncommon,N,1.0,Y
Svyelun,U,svyelun,42,Uncommon,N,1.0,Y
Tatyova,UG,tatyova,30,Rare,N,2.0,Y
Tishana,UG,tishana,30,Rare,N,2.0,Y
Brudiclad,UR,brudiclad,30,Uncommon,N,2.0,Y
Rona,UB,rona,30,Uncommon,N,2.0,Y
Tekuthal,U,tekuthal,30,Rare,N,2.0,Y
Unctus,U,unctus,30,Rare,N,2.0,Y
Ashnod,UBR,ashnod,30,Uncommon,N,1.0,Y
Farid,R,farid,33,Rare,N,2.0,Y
Hajar,RG,hajar,30,Rare,N,2.0,Y
Ao,W,ao,26,Rare,N,2.0,Y
Atsushi,R,atsushi,47,Mythic,N,3.0,Y
Junji,B,junji,52,Mythic,N,3.0,Y
Kairi,U,kairi,33,Rare,N,2.0,Y
Kura,G,kura,32,Rare,N,2.0,Y
Ertai,WUB,ertai,30,Uncommon,N,1.0,Y
Greven,BR,greven,30,Rare,N,2.0,Y
Tsabo Tavoc,BR,tsabo_tavoc,30,Uncommon,N,1.0,Y
Birgi,R,birgi,20,Uncommon,N,1.0,Y
Hazoret,R,hazoret,33,Rare,N,2.0,Y
Ilharg,R,ilharg,42,Mythic,N,3.0,Y
Purphoros,R,purphoros,20,Uncommon,N,1.0,Y
Toralf,R,toralf,42,Mythic,N,3.0,Y
Eladamri,G,eladamri,11,Common,N,0.1,Y
Rhys,WG,rhys,30,Rare,N,2.0,Y
Harald,BG,harald,30,Rare,N,2.0,Y
Marwyn,G,marwyn,32,Rare,N,2.0,Y
Miara and Numa,BG,miara_and_numa,30,Uncommon,N,1.0,Y
Aesi,UG,aesi,30,Uncommon,N,1.0,Y
Arixmethes,UG,arixmethes,30,Rare,N,2.0,Y
Charix,U,charix,31,Uncommon,N,2.0,Y
Plagon,WU,plagon,60,Uncommon,N,1.0,Y
Xolatoyac,UG,xolatoyac,30,Rare,N,2.0,Y
Jenara,WUG,jenara,30,Rare,N,2.0,Y
Kresh,BRG,kresh,30,Rare,N,2.0,Y
Mayael,WRG,mayael,30,Uncommon,N,1.0,Y
